Keyword,GOID,Title,Contributors,Contributor FirstName,Contributor LastName,Numeric Date,Start Date,End Date,Qualifier,Publisher Country,Language,Source,StartPage,DocSection,ColumnHeader,DocEdition,Title Keywords,Terms,Word Count,Title of Newspaper,Subjects,MpubId
n/a,2123327034,Always Tackling 'The Hard Problem',"Soloski, Alexis",Alexis,Soloski,2018-10-21,2018-10-21,2018-10-21,"New York, N.Y.",United States,English,Newspapers,AR.4,AR,n/a,n/a,n/a,"['Terms', {}, '', ['CompanyTerm', {'TermSource': 'AutoCatNstein'}, '', 'CompanyNameAtt', {'TermVocab': 'CORP'}, '\n               ', 'CompanyNAICAtt', {}, '\n               ', 'CompanyNAICAtt', {}, '\n               ', 'CompanyNAICAtt', {}, '\n               ', 'CompanyNAICAtt', {}, '\n               '], ['CompanyTerm', {'TermSource': 'AutoCatNstein'}, '', 'CompanyNameAtt', {'TermVocab': 'CORP'}, '\n               ', 'CompanyNAICAtt', {}, '\n               '], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Neurosciences'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Consciousness'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Theater'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Philosophy'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Philosophers'], ['Term', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PERS'}, '', 'Personal', {}, 'Stoppard, Tom'], ['Term', {'TermSource': 'AutoCatNstein', 'TermVocab': 'GEOG'}, '', 'Geographic', {}, 'New York']]",1639,New York Times,General Interest Periodicals--United States,11561
n/a,1545387815,U.S. News -- Yellen to House GOP: Rate Rule a Bad Idea,"Pedro Nicolaci da Costa,^^Leubsdorf, Ben",Ben,Leubsdorf,2014-07-17,2014-07-17,2014-07-17,"New York, N.Y.",United States,English,Newspapers,A.2,n/a,n/a,n/a,n/a,"['Terms', {}, '', ['CompanyTerm', {'TermSource': 'NA', 'PndxHeader': 'true'}, '', 'CompanyNameAtt', {'TermVocab': 'CORP'}, '\n               ', 'CompanyNAICAtt', {}, '\n               '], ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'ClassCode', {}, '9190', 'ClassExpansion', {}, 'United States'], ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'ClassCode', {}, '4320', 'ClassExpansion', {}, 'Legislation'], ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'ClassCode', {}, '1120', 'ClassExpansion', {}, 'Economic policy & planning'], ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'DBLookup', 'TermVocab': 'NAICS'}, '', 'ClassCode', {}, '92113', 'ClassExpansion', {}, 'Public Finance Activities'], ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'DBLookup', 'TermVocab': 'NAICS'}, '', 'ClassCode', {}, '52111', 'ClassExpansion', {}, 'Monetary Authorities-Central Bank'], ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'DBLookup', 'TermVocab': 'NAICS'}, '', 'ClassCode', {}, '92112', 'ClassExpansion', {}, 'Legislative Bodies'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQSUBJ', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Congressional hearings'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQSUBJ', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Rules'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQSUBJ', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Federal legislation'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Federal Reserve monetary policy'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Interest rates'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Congressional committees'], ['Term', {'SubTermType': 'Country', 'TermSource': 'ABI', 'TermVocab': 'GEOG', 'PndxHeader': 'true'}, '', 'Geographic', {}, 'United States--US'], ['Term', {'TermSource': 'NA', 'TermVocab': 'PERS', 'PndxHeader': 'true'}, '', 'Personal', {}, 'Yellen, Janet L']]",331,Wall Street Journal,Business And Economics--Banking And Finance,10482
n/a,1545553533,Yellen fights Republicans to keep Fed independent,"Appelbaum, Binyamin",Binyamin,Appelbaum,2014-07-18,2014-07-18,2014-07-18,Paris,United States,English,Newspapers,17,n/a,n/a,n/a,n/a,"['Terms', {}, '', ['CompanyTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'CompanyNameAtt', {'TermVocab': 'CORP'}, '\n               ', 'CompanyNAICAtt', {}, '\n               ', 'CompanySICAtt', {}, '\n               '], ['Term', {'TermSource': 'Editorial', 'TermVocab': 'PERS'}, '', 'Personal', {}, 'Yellen, Janet L']]",766,International New York Times,General Interest Periodicals--France,45131
n/a,1545554849,United States: U.S. stocks waver as Yellen testifies before Congress,n/a,n/a,n/a,2014-07-18,2014-07-18,2014-07-18,Bangkok,Thailand,English,Newspapers,n/a,Business News,n/a,n/a,n/a,"['Terms', {}, '', ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Testimony'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Stock exchanges'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Gross Domestic Product--GDP'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Banks'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Interest rates'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Economic growth'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Dow Jones averages'], ['Term', {'SubTermType': 'Country', 'TermSource': 'ABI', 'TermVocab': 'GEOG', 'PndxHeader': 'true'}, '', 'Geographic', {}, 'United States--US']]",435,Asia News Monitor,General Interest Periodicals--Philippines,656306
n/a,1546074706,Fed may move 'sooner' on rates,n/a,n/a,n/a,2014-07-18,2014-07-18,2014-07-18,"Calgary, Alta.",Canada,English,Newspapers,B.2,Business,News Makers,Early,n/a,n/a,124,Calgary Herald,General Interest Periodicals--Canada,47083
n/a,1549576638,Liberals Love the 'One Percent',"Sharma, Ruchir",Ruchir,Sharma,2014-07-31,2014-07-31,2014-07-31,Brussels,United States,English,Newspapers,13,n/a,n/a,n/a,n/a,"['Terms', {}, '', ['ClassTerm', {'ClassTermType': 'Classification', 'TermSource': 'DBLookup', 'TermVocab': 'NAICS'}, '', 'ClassCode', {}, '52111', 'ClassExpansion', {}, 'Monetary Authorities-Central Bank'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Stock exchanges'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Monetary policy'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Inflation'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Central banks'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Interest rates'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Consumer Price Index'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Economic conditions'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Securities markets'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Recessions'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Commodities'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Wealth'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Investments']]",976,Wall Street Journal,Business And Economics--Banking And Finance,45902
n/a,1549968105,Bears Who Won Big During Finance Crisis Are Growling Again; Singer and Lippmann Are Among Hedge-Fund Managers Wary of the Potential for Prices to Fall,"Copeland, Rob",Rob,Copeland,2014-07-31,2014-07-31,2014-07-31,"New York, N.Y.",United States,English,Newspapers,n/a,Markets,n/a,n/a,n/a,"['Terms', {}, '', ['CompanyTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'CompanyNameAtt', {'TermVocab': 'CORP'}, '\n               ', 'CompanyNAICAtt', {}, '\n               ', 'CompanyNAICAtt', {}, '\n               '], ['CompanyTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'CompanyNameAtt', {'TermVocab': 'CORP'}, '\n               ', 'CompanyNAICAtt', {}, '\n               ', 'CompanyNAICAtt', {}, '\n               '], ['PQBCompanyTerm', {'TermSource': 'AutoCatNstein'}, '', 'CompanyNameAtt', {'TermVocab': 'BUSCORP'}, '\n               ', 'CompanyTickerAtt', {}, '\n               ', 'CompanyIDAtt', {'TermVocab': 'BUSCORP'}, '\n               ', 'CompanyType', {}, 'Public', 'CompanyHQLocation', {}, 'Germany', 'CompanyWebsite', {}, 'https://www.db.com/company/index.htm', 'CompanyStockExchange', {}, 'XETRA'], ['PQBCompanyTerm', {'TermSource': 'AutoCatNstein'}, '', 'CompanyNameAtt', {'TermVocab': 'BUSCORP'}, '\n               ', 'CompanyTickerAtt', {}, '\n               ', 'CompanyIDAtt', {'TermVocab': 'BUSCORP'}, '\n               ', 'CompanyType', {}, 'Public', 'CompanyHQLocation', {}, 'United States', 'CompanyWebsite', {}, 'https://www.goldmansachs.com', 'CompanyStockExchange', {}, 'NYSE'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQSUBJ', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Advisors'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Investment advisors'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Default'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Sovereign debt'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Junk bonds'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Hedge funds'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Housing prices'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Mortgages'], ['GenSubjTerm', {'TermSource': 'ABI', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Investment bankers'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Subprime lending'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQBUS'}, '', 'GenSubjValue', {}, 'Corporate debt'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Housing'], ['Term', {'SubTermType': 'Country', 'TermSource': 'ABI', 'TermVocab': 'GEOG', 'PndxHeader': 'true'}, '', 'Geographic', {}, 'United States--US']]",1105,Wall Street Journal (Online),Business And Economics,105983
n/a,1550716133,"Federal Reserve cuts another $10 billion, but promises more stimulus","Lawler, Joseph",Joseph,Lawler,2014-07-30,2014-07-30,2014-07-30,"Washington, D.C.",United States,English,Newspapers,n/a,PennAve,n/a,Examiner,n/a,"['Terms', {}, '', ['GenSubjTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Central banks'], ['GenSubjTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Monetary policy'], ['GenSubjTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Meetings'], ['GenSubjTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Economic indicators'], ['GenSubjTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Economic statistics'], ['GenSubjTerm', {'TermSource': 'ABI', 'PndxHeader': 'true'}, '', 'GenSubjValue', {}, 'Gross Domestic Product--GDP']]",494,Washington Examiner,General Interest Periodicals--United States,52617
n/a,1550795074,Fed more confident in job market but nods to pickup in inflation,"Mui, Ylan Q",Ylan,Mui,2014-07-31,2014-07-31,2014-07-31,Washington,United States,English,"Blogs, Podcasts, & Websites",n/a,Wonkblog,n/a,n/a,n/a,n/a,833,Washington Post – Blogs,General Interest Periodicals--United States,2027631
n/a,1919515746,"Transcriptomic and metabolomic profiles of Chinese citrus fly, Bactrocera minax (Diptera: Tephritidae), along with pupal development provide insight into diapause program","Wang, Jia,^^Fan, Huan,^^Ke-Cai Xiong,^^Ying-Hong, Liu","Jia,^^Huan,^^Liu","Wang,^^Fan,^^Ying-Hong",2017-07-01,2017-07-01,2017-07-31,San Francisco,United States,"English,English",Scholarly Journals,e0181033,Research Article,n/a,n/a,n/a,"['Terms', {}, '', ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Drug metabolism'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Diapause'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Metabolic pathways'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Xenobiotic metabolism'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Cell metabolism'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'DNA metabolism'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Metabolic processes'], ['FlexTerm', {'TermSource': 'ABI'}, '', 'TitleKeyword', {}, 'Nitrogen metabolism'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Cold'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Respiration'], ['ClassTerm', {'ClassTermType': 'LifeScience', 'TermSource': 'Editorial', 'TermVocab': 'CCENTO'}, '', 'ClassCode', {}, 'Z 05320', 'ClassExpansion', {}, 'Physiology, Anatomy, and Biochemistry'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Digestive system'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Metabolism'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Citrus fruits'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Digestive system'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Nuclear magnetic resonance--NMR'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Developmental stages'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Trehalose'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Trehalose'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Molecular modelling'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Polymerase chain reaction'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Respiratory rate'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Scientific imaging'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Metabolites'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Metabolism'], ['Term', {'TermSource': 'Editorial', 'TermVocab': 'TAXONOMIC'}, '', 'Taxonomic', {}, 'Bactrocera minax'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Chromatography'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Metabolites'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Magnetic resonance spectroscopy'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Endocrine system'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Developmental stages'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Mass spectrometry'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Resonance'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Proline'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Gene expression'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Metabolites'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Endocrine system'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Insects'], ['Term', {'TermSource': 'AutoCatNstein', 'TermVocab': 'GEOG'}, '', 'Geographic', {}, 'China'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Gene expression'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Metabolism'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Insects'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'PQSUBJ'}, '', 'GenSubjValue', {}, 'Metabolites'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Diapause'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'LSCTERMS'}, '', 'GenSubjValue', {}, 'Proline'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Spectroscopic analysis'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'TRD'}, '', 'GenSubjValue', {}, 'Nuclear magnetic resonance--NMR'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'ENVSUBJ'}, '', 'GenSubjValue', {}, 'Nuclear magnetic resonance--NMR'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'MGA'}, '', 'GenSubjValue', {}, 'Magnetic resonance'], ['GenSubjTerm', {'TermSource': 'AutoCatNstein', 'TermVocab': 'MGA'}, '', 'GenSubjValue', {}, 'Spectroscopy']]",7054,PLoS One,Medical Sciences,1436336
