level_0,level_1,Paragraph,Sentence,Overall Sentence,Text,Polarity,Subjectivity
1545387815,0,1,1,1,"Federal Reserve Chairwoman Janet Yellen pushed back against House Republicans' proposal to require the central bank to adopt a formal, mathematical rule to guide its interest-rate decisions.",0.0,0.08333333333333333
1545387815,1,2,1,2,"Ms. Yellen, responding to some of the toughest questioning she has faced on Capitol Hill since becoming the Fed's leader in February, said provisions in a recently introduced House bill would lead to greater political meddling in the Fed's affairs, curtailing its independence and constraining the ability of policy makers to manage crises.",0.2375,0.42500000000000004
1545387815,2,3,1,3,"""It would be a grave mistake for the Fed to commit to conduct monetary policy according to a mathematical rule,"" Ms. Yellen told the House Financial Services Committee on Wednesday, amplifying her message in testimony to the Senate Banking Committee a day earlier.",0.0,0.16666666666666666
1545387815,5,5,1,6,"Ms. Yellen defended the Fed's position of holding interest rates lower than such a rule would prescribe, saying, ""It is utterly necessary for us to provide more monetary-policy accommodation than those simple rules would have suggested.""",0.125,0.5892857142857143
1545553533,0,1,1,1,"Janet L. Yellen, the Federal Reserve chairwoman, testified that a Republican proposal would undermine the central bank's independence in monetary policy.",0.0,0.25
1545553533,1,2,1,2,"The chairwoman of the Federal Reserve, Janet L. Yellen, says it would be a ""grave mistake"" for Congress to adopt legislation proposed by House Republicans to constrain the Fed's management of monetary policy.",0.0,0.0
1545553533,2,3,1,3,Ms. Yellen and Republican lawmakers traded strong words on Wednesday at a testy hearing before the House Financial Services Committee that focused on a bill that would require the Fed to publish a set of rules for raising and lowering interest rates.,0.21666666666666665,0.36666666666666664
1545553533,3,4,1,4,"Ms. Yellen said such a rule would impair the Fed's ability to manage the economy, even inhibiting its ability to respond to financial crises.",0.0,0.25
1545553533,5,5,1,6,Republicans criticized what they described as an alarmist response by Ms. Yellen and Democrats to a proposal that they said would do nothing more than modestly increase the Fed's accountability by requiring greater transparency.,0.3666666666666667,0.6333333333333333
1545553533,21,12,3,22,"Ms. Yellen did not give a direct answer on Wednesday to questions about how soon the Fed will begin to raise its key short-term gauge from its current rate near zero, but she did note that most economists expected the Fed to act in the third quarter of 2015.",0.08571428571428572,0.4428571428571428
1545553533,27,15,1,28,"Ms. Yellen has largely played down such concerns, describing inflation as muted and unlikely to rebound strongly.",-0.0015873015873016038,0.4901587301587302
1545553533,30,17,1,31,"Democrats rallied to Ms. Yellen's defense in opposition to the rule proposed by Republicans, saying that Congress already had sufficient oversight of monetary policy.",0.0,0.0
1545553533,31,17,2,32,They also urged Ms. Yellen to persist in holding down interest rates.,-0.15555555555555559,0.2888888888888889
1545553533,32,18,1,33,"""The economy is worse than your statement indicates,"" Representative Brad Sherman, a California Democrat, told Ms. Yellen.",-0.4,0.6
1545554849,0,1,1,1,"U.S. stocks closed mixed after fluctuating between gains and losses Tuesday, as Federal Reserve Chair Janet Yellen in her testimony to Congress said stocks in some sectors appear stretched.",-0.05000000000000001,0.11666666666666665
1545554849,6,6,1,7," A Fed report accompanying Yellen's testimony said that "" valuation metrics in some sectors appear substantially stretched, particularly for smaller firms in the social media &amp; biotech industries, despite notable downturn in equity prices for such firms early in the year.""",0.10714285714285714,0.3142857142857142
1550716133,15,9,1,16,That was an improvement that Chairwoman Janet Yellen and others had anticipated in continuing to taper the bond purchases.,0.0,0.0
1550716133,16,9,2,17,"In an appearance before Congress earlier in July, Yellen said that the first GDP decline ""appears to have resulted mostly from transitory factors, and a number of recent indicators of production and spending suggest that growth rebounded in the second quarter.""",0.15,0.31666666666666665
2046284852,53,25,1,54,"When we last spoke, we discussed Janet Yellen’s nomination to be chair of the Federal Reserve.",0.0,0.06666666666666667
