,Text,POS,Dep,ENT_Type,POS Explains,Tag Explains
0,The,DET,det,,determiner,determiner
1,Chinese,ADJ,amod,NORP,adjective,"adjective (English), other noun-modifier (Chinese)"
2,citrus,NOUN,nsubj,,noun,"noun, singular or mass"
3,fly,VERB,ccomp,,verb,"verb, non-3rd person singular present"
4,",",PUNCT,punct,,punctuation,"punctuation mark, comma"
5,<,X,punct,,other,unknown
6,i,PRON,dep,,pronoun,"pronoun, personal"
7,>,PUNCT,punct,,punctuation,superfluous punctuation
8,Bactrocera,PROPN,compound,,proper noun,"noun, proper singular"
9,minax,NOUN,dobj,,noun,"noun, singular or mass"
10,<,X,punct,,other,unknown
11,/i>(Enderlein,X,punct,,other,unknown
12,),PUNCT,punct,,punctuation,right round bracket
13,",",PUNCT,punct,,punctuation,"punctuation mark, comma"
14,is,AUX,ROOT,,auxiliary,"verb, 3rd person singular present"
15,a,DET,det,,determiner,determiner
16,devastating,ADJ,amod,,adjective,"adjective (English), other noun-modifier (Chinese)"
17,citrus,NOUN,amod,,noun,"noun, singular or mass"
18,pest,NOUN,attr,,noun,"noun, singular or mass"
19,in,ADP,prep,,adposition,"conjunction, subordinating or preposition"
20,Asia,PROPN,pobj,LOC,proper noun,"noun, proper singular"
21, ,SPACE,dep,,space,whitespace
22,This,DET,det,,determiner,determiner
23,univoltine,ADJ,amod,,adjective,"adjective (English), other noun-modifier (Chinese)"
24,insect,NOUN,nsubj,,noun,"noun, singular or mass"
25,enters,VERB,ROOT,,verb,"verb, 3rd person singular present"
26,obligatory,ADJ,amod,,adjective,"adjective (English), other noun-modifier (Chinese)"
27,pupal,NOUN,compound,,noun,"noun, singular or mass"
28,diapause,NOUN,dobj,,noun,"noun, singular or mass"
29,in,ADP,prep,,adposition,"conjunction, subordinating or preposition"
30,each,DET,det,,determiner,determiner
31,generation,NOUN,pobj,,noun,"noun, singular or mass"
32,",",PUNCT,punct,,punctuation,"punctuation mark, comma"
33,while,SCONJ,mark,,subordinating conjunction,"conjunction, subordinating or preposition"
34,little,ADJ,nsubjpass,,adjective,"adjective (English), other noun-modifier (Chinese)"
35,is,AUX,auxpass,,auxiliary,"verb, 3rd person singular present"
36,known,VERB,advcl,,verb,"verb, past participle"
37,about,ADP,prep,,adposition,"conjunction, subordinating or preposition"
38,the,DET,det,,determiner,determiner
39,course,NOUN,pobj,,noun,"noun, singular or mass"
40,and,CCONJ,cc,,coordinating conjunction,"conjunction, coordinating"
41,the,DET,det,,determiner,determiner
42,molecular,ADJ,amod,,adjective,"adjective (English), other noun-modifier (Chinese)"
43,mechanisms,NOUN,conj,,noun,"noun, plural"
44,of,ADP,prep,,adposition,"conjunction, subordinating or preposition"
